time,condition,temperature_C,humidity_%,rain_prob_%
2025-11-30 15:00:00,cloudy,25.5,79,9.1
2025-11-30 16:00:00,sunny,24.9,81,7.4
2025-11-30 17:00:00,sunny,24.2,83,8.5
2025-11-30 18:00:00,cloudy,23.6,87,12.2
2025-11-30 19:00:00,cloudy,23.5,88,15.6
2025-11-30 20:00:00,cloudy,23.2,89,13.2
2025-11-30 21:00:00,cloudy,23.0,91,15.7
2025-11-30 22:00:00,cloudy,22.7,92,13.3
2025-11-30 23:00:00,cloudy,22.5,94,10.6
2025-12-01 00:00:00,cloudy,22.5,93,11.8
2025-12-01 01:00:00,cloudy,22.5,92,12.6
2025-12-01 02:00:00,cloudy,22.4,91,13.4
2025-12-01 03:00:00,cloudy,22.3,91,11.8
2025-12-01 04:00:00,cloudy,22.3,92,12.6
2025-12-01 05:00:00,cloudy,22.3,92,13.0
2025-12-01 06:00:00,cloudy,22.3,91,14.4
2025-12-01 07:00:00,cloudy,22.6,91,12.1
2025-12-01 08:00:00,cloudy,23.6,89,16.1
2025-12-01 09:00:00,cloudy,24.3,86,18.2
2025-12-01 10:00:00,cloudy,25.0,84,18.2
2025-12-01 11:00:00,cloudy,25.6,83,21.2
2025-12-01 12:00:00,cloudy,26.1,82,11.1
2025-12-01 13:00:00,cloudy,26.3,82,11.3
2025-12-01 14:00:00,cloudy,26.4,81,9.9
2025-12-01 15:00:00,sunny,26.3,80,6.7
2025-12-01 16:00:00,sunny,25.8,82,8.0
2025-12-01 17:00:00,sunny,25.1,83,10.2
2025-12-01 18:00:00,cloudy,24.6,86,18.1
2025-12-01 19:00:00,cloudy,24.4,87,24.8
2025-12-01 20:00:00,cloudy,24.1,89,25.0
2025-12-01 21:00:00,cloudy,23.8,91,22.6
2025-12-01 22:00:00,cloudy,23.5,94,15.3
2025-12-01 23:00:00,cloudy,23.2,96,4.1
2025-12-02 00:00:00,cloudy,23.1,97,3.7
2025-12-02 01:00:00,cloudy,23.1,96,4.5
2025-12-02 02:00:00,cloudy,23.0,95,7.7
2025-12-02 03:00:00,cloudy,23.1,94,10.7
2025-12-02 04:00:00,cloudy,23.1,93,11.2
2025-12-02 05:00:00,cloudy,23.0,93,14.5
2025-12-02 06:00:00,cloudy,22.9,93,12.6
2025-12-02 07:00:00,cloudy,23.1,94,12.7
2025-12-02 08:00:00,cloudy,24.0,89,20.3
2025-12-02 09:00:00,cloudy,24.6,87,21.9
2025-12-02 10:00:00,cloudy,25.3,84,18.0
2025-12-02 11:00:00,cloudy,26.1,82,10.6
2025-12-02 12:00:00,cloudy,26.2,83,13.2
2025-12-02 13:00:00,cloudy,26.2,84,14.4
2025-12-02 14:00:00,cloudy,26.1,83,14.0
